,년/월/일,종가
0,20181026,"2,027.15"
1,20181025,"2,063.30"
2,20181024,"2,097.58"
3,20181023,"2,106.10"
4,20181022,"2,161.71"
5,20181019,"2,156.26"
6,20181018,"2,148.31"
7,20181017,"2,167.51"
8,20181016,"2,145.12"
9,20181015,"2,145.12"
10,20181012,"2,161.85"
11,20181011,"2,129.67"
12,20181010,"2,228.61"
13,20181008,"2,253.83"
14,20181005,"2,267.52"
15,20181004,"2,274.49"
16,20181002,"2,309.57"
17,20181001,"2,338.88"
18,20180928,"2,343.07"
19,20180927,"2,355.43"
20,20180921,"2,339.17"
21,20180920,"2,323.45"
22,20180919,"2,308.46"
23,20180918,"2,308.98"
24,20180917,"2,303.01"
25,20180914,"2,318.25"
26,20180913,"2,286.23"
27,20180912,"2,282.92"
28,20180911,"2,283.20"
29,20180910,"2,288.66"
30,20180907,"2,281.58"
31,20180906,"2,287.61"
32,20180905,"2,291.77"
33,20180904,"2,315.72"
34,20180903,"2,307.03"
35,20180831,"2,322.88"
36,20180830,"2,307.35"
37,20180829,"2,309.03"
38,20180828,"2,303.12"
39,20180827,"2,299.30"
40,20180824,"2,293.21"
41,20180823,"2,282.60"
42,20180822,"2,273.33"
43,20180821,"2,270.06"
44,20180820,"2,247.88"
45,20180817,"2,247.05"
46,20180816,"2,240.80"
47,20180814,"2,258.91"
48,20180813,"2,248.45"
49,20180810,"2,282.79"
50,20180809,"2,303.71"
51,20180808,"2,301.45"
52,20180807,"2,300.16"
53,20180806,"2,286.50"
54,20180803,"2,287.68"
55,20180802,"2,270.20"
56,20180801,"2,307.07"
57,20180731,"2,295.26"
58,20180730,"2,293.51"
59,20180727,"2,294.99"
60,20180726,"2,289.06"
61,20180725,"2,273.03"
62,20180724,"2,280.20"
63,20180723,"2,269.31"
64,20180720,"2,289.19"
65,20180719,"2,282.29"
66,20180718,"2,290.11"
67,20180717,"2,297.92"
68,20180716,"2,301.99"
69,20180713,"2,310.90"
70,20180712,"2,285.06"
71,20180711,"2,280.62"
72,20180710,"2,294.16"
73,20180709,"2,285.80"
74,20180706,"2,272.87"
75,20180705,"2,257.55"
76,20180704,"2,265.46"
77,20180703,"2,272.76"
78,20180702,"2,271.54"
79,20180629,"2,326.13"
80,20180628,"2,314.24"
81,20180627,"2,342.03"
82,20180626,"2,350.92"
83,20180625,"2,357.88"
84,20180622,"2,357.22"
85,20180621,"2,337.83"
86,20180620,"2,363.91"
87,20180619,"2,340.11"
88,20180618,"2,376.24"
89,20180615,"2,404.04"
90,20180614,"2,423.48"
91,20180612,"2,468.83"
92,20180611,"2,470.15"
93,20180608,"2,451.58"
94,20180607,"2,470.58"
95,20180605,"2,453.76"
96,20180604,"2,447.76"
97,20180601,"2,438.96"
98,20180531,"2,423.01"
99,20180530,"2,409.03"
100,20180529,"2,457.25"
101,20180528,"2,478.96"
102,20180525,"2,460.80"
103,20180524,"2,466.01"
104,20180523,"2,471.91"
105,20180521,"2,465.57"
106,20180518,"2,460.65"
107,20180517,"2,448.45"
108,20180516,"2,459.82"
109,20180515,"2,458.54"
110,20180514,"2,476.11"
111,20180511,"2,477.71"
112,20180510,"2,464.16"
113,20180509,"2,443.98"
114,20180508,"2,449.81"
115,20180504,"2,461.38"
116,20180503,"2,487.25"
117,20180502,"2,505.61"
118,20180430,"2,515.38"
119,20180427,"2,492.40"
120,20180426,"2,475.64"
121,20180425,"2,448.81"
122,20180424,"2,464.14"
123,20180423,"2,474.11"
124,20180420,"2,476.33"
125,20180419,"2,486.10"
126,20180418,"2,479.98"
127,20180417,"2,453.77"
128,20180416,"2,457.49"
129,20180413,"2,455.07"
130,20180412,"2,442.71"
131,20180411,"2,444.22"
132,20180410,"2,450.74"
133,20180409,"2,444.08"
134,20180406,"2,429.58"
135,20180405,"2,437.52"
136,20180404,"2,408.06"
137,20180403,"2,442.43"
138,20180402,"2,444.16"
139,20180330,"2,445.85"
140,20180329,"2,436.37"
141,20180328,"2,419.29"
142,20180327,"2,452.06"
143,20180326,"2,437.08"
144,20180323,"2,416.76"
145,20180322,"2,496.02"
146,20180321,"2,484.97"
147,20180320,"2,485.52"
148,20180319,"2,475.03"
149,20180316,"2,493.97"
150,20180315,"2,492.38"
151,20180314,"2,486.08"
152,20180313,"2,494.49"
153,20180312,"2,484.12"
154,20180309,"2,459.45"
155,20180308,"2,433.08"
156,20180307,"2,401.82"
157,20180306,"2,411.41"
158,20180305,"2,375.06"
159,20180302,"2,402.16"
160,20180228,"2,427.36"
161,20180227,"2,456.14"
162,20180226,"2,457.65"
163,20180223,"2,451.52"
164,20180222,"2,414.28"
165,20180221,"2,429.65"
166,20180220,"2,415.12"
167,20180219,"2,442.82"
168,20180214,"2,421.83"
169,20180213,"2,395.19"
170,20180212,"2,385.38"
171,20180209,"2,363.77"
172,20180208,"2,407.62"
173,20180207,"2,396.56"
174,20180206,"2,453.31"
175,20180205,"2,491.75"
176,20180202,"2,525.39"
177,20180201,"2,568.54"
178,20180131,"2,566.46"
179,20180130,"2,567.74"
180,20180129,"2,598.19"
181,20180126,"2,574.76"
182,20180125,"2,562.23"
183,20180124,"2,538.00"
184,20180123,"2,536.60"
185,20180122,"2,502.11"
186,20180119,"2,520.26"
187,20180118,"2,515.81"
188,20180117,"2,515.43"
189,20180116,"2,521.74"
190,20180115,"2,503.73"
191,20180112,"2,496.42"
192,20180111,"2,487.91"
193,20180110,"2,499.75"
194,20180109,"2,510.23"
195,20180108,"2,513.28"
196,20180105,"2,497.52"
197,20180104,"2,466.46"
198,20180103,"2,486.35"
199,20180102,"2,479.65"
0,20171228,"2,467.49"
1,20171227,"2,436.67"
2,20171226,"2,427.34"
3,20171222,"2,440.54"
4,20171221,"2,429.83"
5,20171220,"2,472.37"
6,20171219,"2,478.53"
7,20171218,"2,481.88"
8,20171215,"2,482.07"
9,20171214,"2,469.48"
10,20171213,"2,480.55"
