stockCode,stockName,marketKind,sectionKind,listedDate
A000020,"동화약품                                                                                            ","거래소         ","주권                                                        ",19760324
A000030,"우리은행                                                                                            ","거래소         ","주권                                                        ",20141119
A000040,"KR모터스                                                                                            ","거래소         ","주권                                                        ",19760525
A000050,"경방                                                                                                ","거래소         ","주권                                                        ",19560303
A000060,"메리츠화재                                                                                          ","거래소         ","주권                                                        ",19560702
A000070,"삼양홀딩스                                                                                          ","거래소         ","주권                                                        ",19681227
A000075,"삼양홀딩스우                                                                                        ","거래소         ","주권                                                        ",19920221
A000080,"하이트진로                                                                                          ","거래소         ","주권                                                        ",20091019
A000087,"하이트진로2우B                                                                                      ","거래소         ","주권                                                        ",20110926
A000100,"유한양행                                                                                            ","거래소         ","주권                                                        ",19621101
A000105,"유한양행우                                                                                          ","거래소         ","주권                                                        ",19950221
A000120,"CJ대한통운                                                                                          ","거래소         ","주권                                                        ",19560702
A000140,"하이트진로홀딩스                                                                                    ","거래소         ","주권                                                        ",19730919
A000145,"하이트진로홀딩스우                                                                                  ","거래소         ","주권                                                        ",19870929
A000150,"두산                                                                                                ","거래소         ","주권                                                        ",19730629
A000155,"두산우                                                                                              ","거래소         ","주권                                                        ",19860731
A000157,"두산2우B                                                                                            ","거래소         ","주권                                                        ",19991203
A000180,"성창기업지주                                                                                        ","거래소         ","주권                                                        ",19760602
A000210,"대림산업                                                                                            ","거래소         ","주권                                                        ",19760202
A000215,"대림산업우                                                                                          ","거래소         ","주권                                                        ",19890821
A000220,"유유제약                                                                                            ","거래소         ","주권                                                        ",19751118
A000225,"유유제약1우                                                                                         ","거래소         ","주권                                                        ",19900105
A000227,"유유제약2우B                                                                                        ","거래소         ","주권                                                        ",20000620
A000230,"일동홀딩스                                                                                          ","거래소         ","주권                                                        ",19750628
A000240,"한국타이어월드와이드                                                                                ","거래소         ","주권                                                        ",19681227
A000250,"삼천당제약                                                                                          ","코스닥         ","주권                                                        ",20001004
A000270,"기아차                                                                                              ","거래소         ","주권                                                        ",19730721
A000300,"대유플러스                                                                                          ","거래소         ","주권                                                        ",19750609
A000320,"노루홀딩스                                                                                          ","거래소         ","주권                                                        ",19730810
A000325,"노루홀딩스우                                                                                        ","거래소         ","주권                                                        ",19890121
A000370,"한화손해보험                                                                                        ","거래소         ","주권                                                        ",19750630
A000390,"삼화페인트                                                                                          ","거래소         ","주권                                                        ",19930910
A000400,"롯데손해보험                                                                                        ","거래소         ","주권                                                        ",19710416
A000430,"대원강업                                                                                            ","거래소         ","주권                                                        ",19770622
A000440,"중앙에너비스                                                                                        ","코스닥         ","주권                                                        ",19930324
A000480,"조선내화                                                                                            ","거래소         ","주권                                                        ",19780630
A000490,"대동공업                                                                                            ","거래소         ","주권                                                        ",19750627
A000500,"가온전선                                                                                            ","거래소         ","주권                                                        ",19870608
A000520,"삼일제약                                                                                            ","거래소         ","주권                                                        ",19850529
A000540,"흥국화재                                                                                            ","거래소         ","주권                                                        ",19741205
A000545,"흥국화재우                                                                                          ","거래소         ","주권                                                        ",19900320
A000547,"흥국화재2우B                                                                                        ","거래소         ","주권                                                        ",19990809
A000590,"CS홀딩스                                                                                            ","거래소         ","주권                                                        ",19751222
A000640,"동아쏘시오홀딩스                                                                                    ","거래소         ","주권                                                        ",19700210
A000650,"천일고속                                                                                            ","거래소         ","주권                                                        ",19770623
A000660,"SK하이닉스                                                                                          ","거래소         ","주권                                                        ",19961226
A000670,"영풍                                                                                                ","거래소         ","주권                                                        ",19760612
A000680,"LS네트웍스                                                                                          ","거래소         ","주권                                                        ",19731115
A000700,"유수홀딩스                                                                                          ","거래소         ","주권                                                        ",19560303
A000720,"현대건설                                                                                            ","거래소         ","주권                                                        ",19841222
A000725,"현대건설우                                                                                          ","거래소         ","주권                                                        ",19890921
A000760,"이화산업                                                                                            ","거래소         ","주권                                                        ",19940429
A000810,"삼성화재                                                                                            ","거래소         ","주권                                                        ",19750630
A000815,"삼성화재우                                                                                          ","거래소         ","주권                                                        ",19900410
A000850,"화천기공                                                                                            ","거래소         ","주권                                                        ",19991118
A000860,"강남제비스코                                                                                        ","거래소         ","주권                                                        ",19751112
A000880,"한화                                                                                                ","거래소         ","주권                                                        ",19760624
A000885,"한화우                                                                                              ","거래소         ","주권                                                        ",19900122
A00088K,"한화3우B                                                                                            ","거래소         ","주권                                                        ",20161019
A000890,"보해양조                                                                                            ","거래소         ","주권                                                        ",19880923
A000910,"유니온                                                                                              ","거래소         ","주권                                                        ",19960703
A000950,"전방                                                                                                ","거래소         ","주권                                                        ",19681021
A000970,"한국주철관                                                                                          ","거래소         ","주권                                                        ",19691212
A000990,"DB하이텍                                                                                            ","거래소         ","주권                                                        ",19751212
A000995,"DB하이텍1우                                                                                         ","거래소         ","주권                                                        ",20070521
A001000,"신라섬유                                                                                            ","코스닥         ","주권                                                        ",19940628
A001020,"페이퍼코리아                                                                                        ","거래소         ","주권                                                        ",19760626
A001040,"CJ                                                                                                  ","거래소         ","주권                                                        ",19730629
A001045,"CJ우                                                                                                ","거래소         ","주권                                                        ",19890818
A001060,"JW중외제약                                                                                          ","거래소         ","주권                                                        ",19760614
A001065,"JW중외제약우                                                                                        ","거래소         ","주권                                                        ",19941021
A001067,"JW중외제약2우B                                                                                      ","거래소         ","주권                                                        ",19980413
A001070,"대한방직                                                                                            ","거래소         ","주권                                                        ",19731228
A001080,"만호제강                                                                                            ","거래소         ","주권                                                        ",19770618
A001120,"LG상사                                                                                              ","거래소         ","주권                                                        ",19760130
A001130,"대한제분                                                                                            ","거래소         ","주권                                                        ",19701125
A001140,"국보                                                                                                ","거래소         ","주권                                                        ",19891202
A001200,"유진투자증권                                                                                        ","거래소         ","주권                                                        ",19870824
A001210,"금호전기                                                                                            ","거래소         ","주권                                                        ",19731115
A001230,"동국제강                                                                                            ","거래소         ","주권                                                        ",19880509
A001250,"GS글로벌                                                                                            ","거래소         ","주권                                                        ",19760626
A001260,"남광토건                                                                                            ","거래소         ","주권                                                        ",19761228
A001270,"부국증권                                                                                            ","거래소         ","주권                                                        ",19880719
A001275,"부국증권우                                                                                          ","거래소         ","주권                                                        ",19891110
A001290,"골든브릿지증권                                                                                      ","거래소         ","주권                                                        ",19880923
A001340,"백광산업                                                                                            ","거래소         ","주권                                                        ",19760610
A001360,"삼성제약                                                                                            ","거래소         ","주권                                                        ",19750704
A001380,"SG충방                                                                                              ","거래소         ","주권                                                        ",19760629
A001390,"KG케미칼                                                                                            ","거래소         ","주권                                                        ",19890825
A001420,"태원물산                                                                                            ","거래소         ","주권                                                        ",19750624
A001430,"세아베스틸                                                                                          ","거래소         ","주권                                                        ",19910312
A001440,"대한전선                                                                                            ","거래소         ","주권                                                        ",19681227
A001450,"현대해상                                                                                            ","거래소         ","주권                                                        ",19890825
A001460,"BYC                                                                                                 ","거래소         ","주권                                                        ",19750602
A001465,"BYC우                                                                                               ","거래소         ","주권                                                        ",19890905
A001470,"삼부토건                                                                                            ","거래소         ","주권                                                        ",19760626
A001500,"현대차증권                                                                                          ","거래소         ","주권                                                        ",19900609
A001510,"SK증권                                                                                              ","거래소         ","주권                                                        ",19860920
A001515,"SK증권우                                                                                            ","거래소         ","주권                                                        ",19890829
A001520,"동양                                                                                                ","거래소         ","주권                                                        ",19760625
A001525,"동양우                                                                                              ","거래소         ","주권                                                        ",19890930
A001527,"동양2우B                                                                                            ","거래소         ","주권                                                        ",19990128
A001529,"동양3우B                                                                                            ","거래소         ","주권                                                        ",20070803
A001530,"동일방직                                                                                            ","거래소         ","주권                                                        ",19640104
A001540,"안국약품                                                                                            ","코스닥         ","주권                                                        ",20000615
A001550,"조비                                                                                                ","거래소         ","주권                                                        ",19761228
A001560,"제일연마                                                                                            ","거래소         ","주권                                                        ",20051209
A001570,"금양                                                                                                ","거래소         ","주권                                                        ",19761217
A001620,"동국실업                                                                                            ","거래소         ","주권                                                        ",19900915
A001630,"종근당홀딩스                                                                                        ","거래소         ","주권                                                        ",19760630
A001680,"대상                                                                                                ","거래소         ","주권                                                        ",19700401
A001685,"대상우                                                                                              ","거래소         ","주권                                                        ",19891121
A001720,"신영증권                                                                                            ","거래소         ","주권                                                        ",19870824
A001725,"신영증권우                                                                                          ","거래소         ","주권                                                        ",19880816
A001740,"SK네트웍스                                                                                          ","거래소         ","주권                                                        ",19770630
A001745,"SK네트웍스우                                                                                        ","거래소         ","주권                                                        ",19891221
A001750,"한양증권                                                                                            ","거래소         ","주권                                                        ",19880304
A001755,"한양증권우                                                                                          ","거래소         ","주권                                                        ",19891024
A001770,"신화실업                                                                                            ","거래소         ","주권                                                        ",19881123
A001780,"알루코                                                                                              ","거래소         ","주권                                                        ",20070607
A001790,"대한제당                                                                                            ","거래소         ","주권                                                        ",19681227
A001795,"대한제당우                                                                                          ","거래소         ","주권                                                        ",19950121
A001799,"대한제당3우B                                                                                        ","거래소         ","주권                                                        ",20100409
A001800,"오리온홀딩스                                                                                        ","거래소         ","주권                                                        ",19750627
A001810,"무림SP                                                                                              ","코스닥         ","주권                                                        ",20000104
A001820,"삼화콘덴서                                                                                          ","거래소         ","주권                                                        ",19760626
A001840,"이화공영                                                                                            ","코스닥         ","주권                                                        ",19941123
A001880,"삼호                                                                                                ","거래소         ","주권                                                        ",19771222
A001940,"KISCO홀딩스                                                                                         ","거래소         ","주권                                                        ",19891113
A002000,"한국유리                                                                                            ","거래소         ","주권                                                        ",19690627
A002005,"한국유리우                                                                                          ","거래소         ","주권                                                        ",19891220
A002020,"코오롱                                                                                              ","거래소         ","주권                                                        ",19750623
A002025,"코오롱우                                                                                            ","거래소         ","주권                                                        ",19890822
A002030,"아세아                                                                                              ","거래소         ","주권                                                        ",19740603
A002070,"남영비비안                                                                                          ","거래소         ","주권                                                        ",19760713
A002100,"경농                                                                                                ","거래소         ","주권                                                        ",19770630
A002140,"고려산업                                                                                            ","거래소         ","주권                                                        ",19910114
A002150,"도화엔지니어링                                                                                      ","거래소         ","주권                                                        ",20100812
A002170,"삼양통상                                                                                            ","거래소         ","주권                                                        ",19891110
A002200,"수출포장                                                                                            ","거래소         ","주권                                                        ",19740628
A002210,"동성제약                                                                                            ","거래소         ","주권                                                        ",19900119
A002220,"한일철강                                                                                            ","거래소         ","주권                                                        ",19881007
A002230,"피에스텍                                                                                            ","코스닥         ","주권                                                        ",19910104
A002240,"고려제강                                                                                            ","거래소         ","주권                                                        ",19760525
A002250,"알보젠코리아                                                                                        ","거래소         ","주권                                                        ",19731110
A002270,"롯데푸드                                                                                            ","거래소         ","주권                                                        ",19730509
A002290,"삼일기업공사                                                                                        ","코스닥         ","주권                                                        ",19921130
A002300,"한국제지                                                                                            ","거래소         ","주권                                                        ",19710623
A002310,"아세아제지                                                                                          ","거래소         ","주권                                                        ",19881215
A002320,"한진                                                                                                ","거래소         ","주권                                                        ",19740812
A002350,"넥센타이어                                                                                          ","거래소         ","주권                                                        ",19760519
A002355,"넥센타이어1우B                                                                                      ","거래소         ","주권                                                        ",19990608
A002360,"SH에너지화학                                                                                        ","거래소         ","주권                                                        ",19851223
A002380,"KCC                                                                                                 ","거래소         ","주권                                                        ",19730625
A002390,"한독                                                                                                ","거래소         ","주권                                                        ",19760630
A002410,"범양건영                                                                                            ","거래소         ","주권                                                        ",19880525
A002420,"세기상사                                                                                            ","거래소         ","주권                                                        ",19681227
A002450,"삼익악기                                                                                            ","거래소         ","주권                                                        ",19880930
A002460,"화성산업                                                                                            ","거래소         ","주권                                                        ",19880929
A002600,"조흥                                                                                                ","거래소         ","주권                                                        ",19761223
A002620,"제일파마홀딩스                                                                                      ","거래소         ","주권                                                        ",19880120
A002630,"오리엔트바이오                                                                                      ","거래소         ","주권                                                        ",19761228
A002680,"한탑                                                                                                ","코스닥         ","주권                                                        ",19950707
A002690,"동일제강                                                                                            ","거래소         ","주권                                                        ",20150924
A002700,"신일산업                                                                                            ","거래소         ","주권                                                        ",19750930
A002710,"TCC동양                                                                                             ","거래소         ","주권                                                        ",19841221
A002720,"국제약품                                                                                            ","거래소         ","주권                                                        ",19751227
A002760,"보락                                                                                                ","거래소         ","주권                                                        ",19891130
A002780,"진흥기업                                                                                            ","거래소         ","주권                                                        ",19770625
